divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05679,SANTA BÁRBARA,ANTIOQUIA,6.300000190734863,770.1174926757812,29737.0,14267.0,15470.0,36.33231735229492,0.0128,0.0011721075502444322,0.0,0.0,0.0157,0.00011064060803474484,0.0,0.0,0.0,0.0
05686,SANTA ROSA DE OSOS,ANTIOQUIA,5.599999904632568,477.3485107421875,40697.0,23351.0,17346.0,46.43593215942383,0.001,0.0005139707688528616,0.0,0.0,0.0219,5.382157778323912e-06,0.0,0.0,0.0,0.0
05690,SANTO DOMINGO,ANTIOQUIA,5.400000095367432,638.10986328125,13568.0,3461.0,10107.0,72.04106140136719,0.0008,0.0005706445819197764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05697,EL SANTUARIO,ANTIOQUIA,5.800000190734863,477.8860473632813,40538.0,29278.0,11260.0,21.62071228027344,0.0008,0.0005684109763880026,0.0,0.0,0.0578,0.000978005115089514,0.0,0.0,0.0,0.0
05736,SEGOVIA,ANTIOQUIA,5.099999904632568,471.32611083984375,39549.0,32366.0,7183.0,44.60298156738281,0.0007,0.0004193333019888101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05756,SONSÓN,ANTIOQUIA,6.0,648.2171630859375,35750.0,17640.0,18110.0,46.34315872192383,0.01,0.0006883782502173397,0.0,0.0,0.3469,0.009125300252844502,21.09210275712899,0.015644753476611883,0.0,559.0
05761,SOPETRÁN,ANTIOQUIA,5.699999809265137,732.5146484375,16647.0,7566.0,9081.0,42.10311126708984,0.0025,0.0006581738919835312,0.0,0.0,0.0328,0.0005248302618816683,0.0,0.0,0.0,0.0
05789,TÁMESIS,ANTIOQUIA,6.300000190734863,769.547119140625,16646.0,7926.0,8720.0,45.93310546875,0.0254,0.0013464232960540199,0.0,0.0,0.028,0.00016,0.0,0.0,0.0,0.0
05790,TARAZÁ,ANTIOQUIA,4.900000095367432,570.5206909179688,29542.0,15566.0,13976.0,36.76103210449219,0.0009,0.000445800857814878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05792,TARSO,ANTIOQUIA,6.0,769.6851806640625,6597.0,3736.0,2861.0,47.76445007324219,0.0606,0.0014922261484098941,0.0,0.0,0.0099,4.955908289241622e-05,0.0,0.0,0.0,0.0
05809,TITIRIBÍ,ANTIOQUIA,5.800000190734863,824.1673583984375,11582.0,5420.0,6162.0,36.42083358764648,0.0114,0.0009049242424242423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05819,TOLEDO,ANTIOQUIA,4.699999809265137,850.38623046875,4767.0,1752.0,3015.0,56.65209197998047,0.0011,0.0005803310997240835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05837,TURBO,ANTIOQUIA,5.300000190734863,213.14273071289065,130286.0,54107.0,76179.0,47.99462127685547,0.0006,6.577741574177781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05842,URAMITA,ANTIOQUIA,5.099999904632568,813.80615234375,7527.0,2537.0,4990.0,70.03853607177734,0.001,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05847,URRAO,ANTIOQUIA,6.099999904632568,678.6644287109375,32148.0,17764.0,14384.0,31.35957717895508,0.013,0.0007212825143758692,0.0,0.0,0.104,0.0006142098273572377,0.0,0.0,0.0,0.0
